#qa       sa        qs    qe    sa    se    score
X78384.1  X78384.1  1     4761  1     4761  4761.0
X60113.1  X78384.1  2142  2554  2182  2594  266.0
X60113.1  X78384.1  3575  3954  3783  4162  170.0
X60113.1  X78384.1  2608  2879  2655  2926  113.0
X60113.1  X78384.1  3216  3323  3221  3328  78.0
X60113.1  X78384.1  4023  4155  4220  4352  52.0
X78384.1  X60113.1  2182  2594  2142  2554  266.0
X78384.1  X60113.1  3783  4162  3575  3954  170.0
X78384.1  X60113.1  2655  2926  2608  2879  113.0
X78384.1  X60113.1  3221  3328  3216  3323  78.0
X78384.1  X60113.1  4220  4352  4023  4155  52.0
X60113.1  X60113.1  1     4433  1     4433  4433.0
