#qa       sa        qs    qe    sa    se    score
X78384.1  X78384.1  1     4761  1     4761  9522.0
X60113.1  X78384.1  2142  2554  2182  2594  581.0
X60113.1  X78384.1  3535  3954  3743  4162  430.0
X60113.1  X78384.1  2608  2879  2655  2926  279.0
X60113.1  X78384.1  4005  4320  4202  4517  237.0
X60113.1  X78384.1  3216  3323  3221  3328  166.0
X60113.1  X78384.1  1993  2080  2036  2123  96.0
X60113.1  X78384.1  3367  3402  3385  3420  57.0
X60113.1  X78384.1  1069  1140  1205  1276  54.0
X60113.1  X78384.1  1147  1183  1301  1337  54.0
X78384.1  X60113.1  2182  2594  2142  2554  581.0
X78384.1  X60113.1  3743  4162  3535  3954  430.0
X78384.1  X60113.1  2655  2926  2608  2879  279.0
X78384.1  X60113.1  4202  4517  4005  4320  237.0
X78384.1  X60113.1  3221  3328  3216  3323  166.0
X78384.1  X60113.1  2036  2123  1993  2080  96.0
X78384.1  X60113.1  3385  3420  3367  3402  57.0
X78384.1  X60113.1  1205  1276  1069  1140  54.0
X78384.1  X60113.1  1301  1337  1147  1183  54.0
X60113.1  X60113.1  1     4433  1     4433  8866.0
